gender,region,education,income,customer lifetime value,policy type,vehicle class,monthly premium auto,total claim amount,number of open complaints
1036,F,Cali,Bachelor,90844.0,14.1343474,Personal Auto,SUV,118.0,232.674417,0.0
1037,F,Central,High School or Below,44685.0,24.7231831,Personal Auto,Four-Door Car,69.0,331.2,0.0
1038,F,Cali,Bachelor,37824.84705495949,2.8380678,Personal Auto,Four-Door Car,80.0,336.50961,0.0
1039,F,Cali,High School or Below,42589.0,3.8484836,Corporate Auto,Four-Door Car,98.0,470.4,0.0
1040,M,North West,Bachelor,37824.84705495949,19.5044739,Personal Auto,Four-Door Car,72.0,345.6,0.0
1041,F,East,Bachelors,93383.0,2.4800459,Corporate Auto,Two-Door Car,62.0,244.212286,0.0
1042,F,Central,High School or Below,79583.0,4.3613729,Personal Auto,Four-Door Car,109.0,523.2,0.0
1043,F,Central,High School or Below,89129.0,2.5290775,Personal Auto,Four-Door Car,64.0,328.870868,0.0
1044,M,Central,College,37824.84705495949,2.5044448,Personal Auto,Four-Door Car,69.0,496.8,0.0
1045,F,North West,Bachelor,94389.0,8.649700600000001,Corporate Auto,SUV,107.0,85.063708,0.0
1046,F,North West,College,37824.84705495949,13.6683553,Personal Auto,SUV,197.0,1418.4,0.0
1047,F,North West,High School or Below,84106.0,20.6350846,Personal Auto,Two-Door Car,64.0,334.408717,0.0
1048,F,Central,College,37824.84705495949,2.5175335999999997,Personal Auto,Four-Door Car,69.0,42.096415,0.0
1049,F,Cali,High School or Below,76717.0,5.3266777,Personal Auto,Two-Door Car,66.0,300.528579,0.0
1050,M,Central,High School or Below,51978.0,2.6002720999999998,Corporate Auto,Four-Door Car,66.0,144.782152,0.0
1051,F,North West,Bachelor,47325.0,8.5347928,Personal Auto,SUV,107.0,64.598216,0.0
1052,M,North West,High School or Below,86721.0,8.828835,Corporate Auto,SUV,111.0,532.8,0.0
1053,F,Central,Bachelor,24910.0,2.2484496,Personal Auto,Four-Door Car,63.0,347.857619,0.0
1054,F,East,Bachelor,43817.0,12.3027624,Personal Auto,Four-Door Car,62.0,245.447622,0.0
1055,M,North West,High School or Below,37824.84705495949,4.5565929999999994,Personal Auto,Four-Door Car,73.0,525.6,0.0
1056,F,North West,Bachelor,89451.0,2.5307051,Corporate Auto,Four-Door Car,63.0,61.769564,0.0
1057,M,Cali,College,59537.0,5.251984,Personal Auto,Two-Door Car,66.0,316.8,0.0
1058,M,North West,High School or Below,37824.84705495949,6.743119300000001,Personal Auto,Luxury SUV,199.0,955.2,0.0
1059,M,North West,College,54193.0,14.0147213,Corporate Auto,SUV,117.0,720.752945,0.0
1060,M,North West,College,86946.0,9.438915600000001,Personal Auto,Four-Door Car,118.0,340.656963,0.0
1061,F,Cali,Bachelor,37824.84705495949,10.5067717,Personal Auto,Four-Door Car,92.0,546.524896,0.0
1062,F,Central,High School or Below,12160.0,4.2139185999999995,Personal Auto,Four-Door Car,109.0,489.411833,0.0
1063,M,Cali,College,33701.0,4.7736864,Personal Auto,Four-Door Car,63.0,171.325856,0.0
1064,F,East,Bachelor,85702.0,5.4414201,Personal Auto,Two-Door Car,67.0,249.085887,0.0
1065,M,Cali,Bachelor,69417.0,2.8422669,Personal Auto,Four-Door Car,73.0,30.874869,0.0
1066,M,North West,Master,38644.0,3.0595503,Personal Auto,Four-Door Car,78.0,361.455219,0.0
1067,F,Cali,High School or Below,63209.0,20.3149976,Personal Auto,SUV,102.0,207.320041,0.0
1068,F,Central,Bachelor,16061.0,3.2391246999999996,Personal Auto,Four-Door Car,88.0,633.6,0.0
1069,F,West Region,Master,79487.0,4.6268011,Special Auto,SUV,114.0,547.2,0.0
1070,F,West Region,College,54230.0,8.9970402,Personal Auto,Two-Door Car,112.0,537.6,0.0
1071,,,,37824.84705495949,1.8207151761459173,,,,,0.0
3,F,North West,College,71210.0,25.807063,Personal Auto,Luxury Car,214.0,1027.2,0.0
4,F,Central,College,94903.0,3.8081221000000003,Corporate Auto,Two-Door Car,94.0,451.2,0.0
5,M,Central,Bachelor,27293.0,7.6141380000000005,Personal Auto,Two-Door Car,96.0,469.030907,0.0
6,F,West Region,Master,70950.0,6.8984553,Personal Auto,Sports Car,171.0,565.929394,0.0
7,M,North West,College,37824.84705495949,2.2983792000000003,Corporate Auto,Four-Door Car,63.0,302.4,0.0
8,F,North West,Doctor,37009.0,2.8066961,Corporate Auto,Two-Door Car,71.0,145.673348,0.0
9,M,Central,College,52629.0,5.2061182,Personal Auto,Four-Door Car,65.0,136.684141,0.0
10,F,West Region,Bachelor,31264.0,45.708653399999996,Personal Auto,Luxury SUV,198.0,825.657746,0.0
11,F,North West,College,65473.0,8.0073491,Personal Auto,Four-Door Car,67.0,277.685667,0.0
12,F,East,Bachelors,79325.0,5.482549399999999,Corporate Auto,Four-Door Car,68.0,251.294821,0.0
13,M,North West,High School or Below,99144.0,2.4632368,Corporate Auto,Four-Door Car,61.0,292.8,0.0
14,M,West Region,College,22520.0,5.4989406999999995,Corporate Auto,Four-Door Car,73.0,350.4,0.0
15,F,Central,Bachelor,36615.0,5.243828000000001,Special Auto,Four-Door Car,65.0,264.563772,0.0
16,F,East,Bachelors,63297.0,3.2804572999999997,Personal Auto,Four-Door Car,82.0,251.756739,0.0
17,F,Central,High School or Below,76374.0,4.8865443,Personal Auto,Four-Door Car,61.0,292.8,0.0
18,F,East,Bachelors,72096.0,5.123485,Personal Auto,Two-Door Car,6464.0,252.330905,0.0
19,M,Central,Master,56005.0,5.4795551,Personal Auto,Four-Door Car,68.0,326.4,0.0
20,F,East,Master,36529.0,4.762157,Personal Auto,SUV,118.0,255.005116,0.0
21,F,North West,Bachelor,81367.0,8.2876793,Special Auto,SUV,103.0,415.768941,0.0
22,F,West Region,Bachelor,44817.0,9.8866564,Personal Auto,Four-Door Car,83.0,527.421579,0.0
23,F,North West,High School or Below,58508.0,2.7129156,Personal Auto,Two-Door Car,69.0,57.614392,0.0
24,M,North West,Bachelor,45259.0,10.4776763,Personal Auto,SUV,138.0,272.217171,0.0
25,M,West Region,Doctor,30817.0,3.4361343,Personal Auto,Four-Door Car,88.0,91.834668,0.0
26,F,North West,High School or Below,37824.84705495949,2.5961852,Personal Auto,Two-Door Car,72.0,345.6,0.0
27,M,West Region,Doctor,40870.0,12.731951599999999,Personal Auto,SUV,105.0,504.0,0.0
28,M,Central,High School or Below,35001.0,3.4941478999999998,Personal Auto,Four-Door Car,96.0,460.8,0.0
29,F,Central,College,49937.0,7.5979107,Personal Auto,Two-Door Car,64.0,302.586407,0.0
30,F,North West,Bachelor,37824.84705495949,4.0152145,Personal Auto,Four-Door Car,109.0,523.2,0.0
31,F,West Region,College,58317.0,20.477108400000002,Personal Auto,Four-Door Car,73.0,350.4,0.0
32,F,West Region,High School or Below,37824.84705495949,8.1606898,Personal Auto,SUV,109.0,523.2,0.0
33,M,Central,High School or Below,17101.0,12.298686299999998,Corporate Auto,SUV,113.0,542.4,0.0
34,F,West Region,College,37824.84705495949,8.714922099999999,Corporate Auto,SUV,118.0,566.4,0.0
35,F,Central,Bachelor,37824.84705495949,4.8535341999999995,Personal Auto,Four-Door Car,65.0,468.0,0.0
36,M,North West,High School or Below,24398.0,4.8809464,Personal Auto,Four-Door Car,63.0,302.4,0.0
37,M,North West,College,24641.0,2.3113821,Corporate Auto,Four-Door Car,61.0,294.92773,0.0
38,M,Central,High School or Below,69040.0,4.3270989,Corporate Auto,Sports Car,108.0,518.4,0.0
39,M,North West,High School or Below,17101.0,12.298686299999998,Personal Auto,SUV,113.0,542.4,0.0
40,F,West Region,High School or Below,59886.0,8.3235333,Personal Auto,Sports Car,104.0,71.729298,0.0
41,F,North West,Bachelor,14290.0,10.179717,Personal Auto,Luxury SUV,271.0,1300.8,0.0
42,F,West Region,College,43137.0,7.761267800000001,Personal Auto,Two-Door Car,96.0,460.8,0.0
43,M,North West,College,27978.0,5.239890900000001,Personal Auto,Four-Door Car,69.0,447.911255,0.0
44,F,West Region,Bachelor,25261.0,4.5179088,Personal Auto,SUV,118.0,566.4,0.0
45,M,Central,College,58652.0,2.3897741,Personal Auto,Four-Door Car,64.0,307.2,0.0
46,F,Central,College,28321.0,4.1306288,Corporate Auto,SUV,111.0,537.391704,0.0
47,F,East,College,77411.0,2.6915690000000003,Personal Auto,Four-Door Car,67.0,257.900458,0.0
48,M,North West,College,37824.84705495949,5.2277664,Corporate Auto,Four-Door Car,72.0,518.4,0.0
49,F,West Region,Bachelor,37824.84705495949,6.1873457,Personal Auto,Four-Door Car,88.0,633.6,0.0
50,M,Central,College,94415.0,5.113874699999999,Personal Auto,Sports Car,127.0,492.770321,0.0
51,M,North West,High School or Below,37824.84705495949,11.039316200000002,Special Auto,SUV,103.0,1149.203884,0.0
52,F,Central,Bachelor,45331.0,32.227083900000004,Personal Auto,SUV,100.0,572.635987,0.0
53,M,Central,High School or Below,53904.0,2.6119659,Personal Auto,Four-Door Car,67.0,321.6,0.0
54,M,West Region,High School or Below,37824.84705495949,13.3723277,Personal Auto,Four-Door Car,74.0,811.086484,0.0
55,M,Central,Bachelor,37824.84705495949,4.8389819,Special Auto,Four-Door Car,70.0,336.0,0.0
56,M,North West,High School or Below,37824.84705495949,4.721659,Personal Auto,Four-Door Car,67.0,482.4,0.0
57,M,North West,College,28142.0,3.873647,Corporate Auto,Sports Car,105.0,701.708239,0.0
58,M,East,Master,15680.0,4.718558499999999,Personal Auto,Four-Door Car,6464.0,260.879903,0.0
59,M,North West,Bachelor,35095.0,16.9797976,Personal Auto,Two-Door Car,73.0,525.6,0.0
60,F,North West,College,55588.0,13.681711799999999,Personal Auto,SUV,114.0,547.2,0.0
61,F,Central,Master,52391.0,5.717221899999999,Personal Auto,Two-Door Car,71.0,409.763267,0.0
62,F,North West,Bachelor,42240.0,9.4865964,Personal Auto,Four-Door Car,79.0,46.386546,0.0
63,F,North West,Bachelor,70146.0,3.8391437,Personal Auto,Four-Door Car,96.0,157.440069,0.0
64,F,North West,College,41121.0,11.211590300000001,Personal Auto,Four-Door Car,94.0,451.2,0.0
65,F,North West,College,71210.0,25.807063,Corporate Auto,Luxury Car,214.0,1027.2,0.0
66,M,North West,Bachelor,37824.84705495949,3.7983217,Corporate Auto,Two-Door Car,107.0,1261.943541,0.0
67,F,Central,High School or Below,41228.0,2.8165674,Personal Auto,Four-Door Car,71.0,340.8,0.0
68,M,East,Bachelors,40113.0,5.029297,Corporate Auto,Two-Door Car,67.0,262.047663,0.0
69,F,North West,College,37824.84705495949,3.4449675,Special Auto,Four-Door Car,91.0,596.050118,0.0
70,F,West Region,Bachelor,51790.0,2.8594086,Personal Auto,Four-Door Car,71.0,340.8,0.0
71,M,West Region,High School or Below,92593.0,2.6920576,Corporate Auto,Four-Door Car,68.0,8.44322,0.0
72,M,West Region,High School or Below,28657.0,11.431730900000002,Personal Auto,SUV,100.0,588.742251,0.0
73,M,North West,High School or Below,30262.0,7.6358833,Personal Auto,Four-Door Car,98.0,499.22561,0.0
74,F,North West,Master,47197.0,9.8058296,Corporate Auto,Four-Door Car,81.0,76.112618,0.0
75,F,West Region,Bachelor,37824.84705495949,6.8036156000000005,Personal Auto,Four-Door Car,94.0,451.2,0.0
76,F,North West,Bachelor,37824.84705495949,7.1076554000000005,Personal Auto,Four-Door Car,61.0,541.561209,0.0
77,F,North West,High School or Below,37824.84705495949,4.7351845,Personal Auto,SUV,134.0,964.8,0.0
78,M,Central,College,22093.0,6.8743267,Corporate Auto,Two-Door Car,87.0,616.749885,0.0
79,M,Central,College,54483.0,2.4112566,Personal Auto,Two-Door Car,61.0,292.8,0.0
80,F,Central,College,18944.0,2.4165424,Personal Auto,Four-Door Car,63.0,125.274351,0.0
81,F,North West,Bachelor,84365.0,23.9815434,Personal Auto,Four-Door Car,66.0,316.8,0.0
82,M,Central,College,37824.84705495949,4.6921652,Personal Auto,Four-Door Car,64.0,137.169296,0.0
83,F,West Region,High School or Below,25147.0,3.6009343,Corporate Auto,SUV,101.0,694.598288,0.0
84,M,Central,High School or Below,14315.0,2.6652225,Personal Auto,Four-Door Car,71.0,511.2,0.0
85,F,Central,Master,87864.0,7.6665204000000005,Personal Auto,Two-Door Car,94.0,421.456547,0.0
86,M,West Region,High School or Below,57844.0,16.6758962,Personal Auto,Four-Door Car,85.0,408.0,0.0
87,F,North West,High School or Below,17913.0,4.550856,Personal Auto,Four-Door Car,116.0,556.8,0.0
88,F,Central,High School or Below,28806.0,11.763935700000001,Special Auto,Four-Door Car,99.0,475.2,0.0
89,M,West Region,High School or Below,90343.0,13.7425372,Personal Auto,SUV,175.0,833.072722,0.0
90,F,North West,Master,79041.0,16.1384163,Personal Auto,Luxury SUV,199.0,419.26062,0.0
91,M,East,Bachelor,74069.0,7.2985836,Personal Auto,Two-Door Car,63.0,275.516438,0.0
92,M,West Region,College,85019.0,6.6737377,Personal Auto,Sports Car,167.0,801.6,0.0
93,F,West Region,High School or Below,70059.0,7.7821268,Personal Auto,Luxury SUV,194.0,253.740993,0.0
94,F,West Region,College,70503.0,19.3932115,Corporate Auto,SUV,164.0,41.05291,0.0
95,M,West Region,Bachelor,37824.84705495949,3.9741382,Personal Auto,SUV,117.0,561.6,0.0
96,M,North West,Bachelor,39492.0,4.105581,Personal Auto,SUV,105.0,756.0,0.0
97,M,Central,College,37824.84705495949,2.3084721,Corporate Auto,Four-Door Car,68.0,489.6,0.0
98,M,Central,Bachelor,50405.0,5.372914499999999,Personal Auto,Four-Door Car,70.0,7.069583,0.0
99,F,North West,Doctor,96021.0,5.5083155,Personal Auto,Two-Door Car,68.0,315.004602,0.0
100,M,North West,High School or Below,37824.84705495949,2.3983332,Personal Auto,Two-Door Car,65.0,422.947888,0.0
101,M,West Region,High School or Below,37824.84705495949,3.7288301,Personal Auto,Four-Door Car,105.0,756.0,0.0
102,M,North West,College,65794.0,2.7584986,Personal Auto,Four-Door Car,69.0,277.27294,0.0
103,M,North West,Bachelor,21975.0,3.7039303,Corporate Auto,Four-Door Car,95.0,456.0,0.0
104,M,West Region,High School or Below,37824.84705495949,9.3728436,Personal Auto,SUV,126.0,604.8,0.0
105,F,North West,Bachelor,56649.0,4.9915845,Special Auto,SUV,125.0,780.090361,0.0
106,F,East,Master,35984.0,5.0398693,Personal Auto,SUV,128.0,275.577631,0.0
107,M,West Region,Bachelor,92296.0,2.7599783,Corporate Auto,Two-Door Car,69.0,331.2,0.0
108,F,North West,Bachelor,39448.0,7.993004,Personal Auto,Four-Door Car,103.0,66.020788,0.0
109,F,West Region,Bachelor,71794.0,5.2355735,Personal Auto,SUV,131.0,457.471225,0.0
110,F,West Region,High School or Below,21861.0,2.6330118,Personal Auto,Four-Door Car,69.0,348.278032,0.0
111,F,North West,College,31591.0,2.7648023,Corporate Auto,Four-Door Car,72.0,240.241499,0.0
112,F,Central,Bachelor,60662.0,8.0848464,Special Auto,Two-Door Car,68.0,326.4,0.0
113,F,West Region,College,20608.0,2.6851777,Personal Auto,Four-Door Car,73.0,350.4,0.0
114,F,West Region,Master,21331.0,12.20812,Personal Auto,SUV,103.0,419.062661,0.0
115,F,Central,College,37824.84705495949,20.0904387,Corporate Auto,Four-Door Car,66.0,252.149798,0.0
116,M,East,Master,53390.0,5.1334148,Personal Auto,Four-Door Car,6464.0,278.999409,0.0
117,M,North West,Doctor,36631.0,2.491317,Corporate Auto,Four-Door Car,62.0,67.530904,0.0
118,M,West Region,High School or Below,37824.84705495949,6.3145968,Personal Auto,Four-Door Car,87.0,417.6,0.0
119,M,North West,College,26030.0,16.229648899999997,Corporate Auto,Sports Car,139.0,667.2,0.0
120,M,Central,College,37824.84705495949,5.1617899,Personal Auto,Four-Door Car,70.0,469.491537,0.0
121,M,Central,Bachelor,37824.84705495949,3.9822661,Personal Auto,SUV,113.0,542.4,0.0
122,M,Central,Bachelor,25302.0,13.4731857,Personal Auto,Four-Door Car,70.0,336.0,0.0
123,F,East,Master,66030.0,2.7783239,Personal Auto,Four-Door Car,69.0,282.153792,0.0
124,M,North West,High School or Below,37824.84705495949,8.2764442,Personal Auto,Four-Door Car,82.0,590.4,0.0
125,M,Central,Bachelor,73222.0,14.3498599,Personal Auto,SUV,180.0,821.51673,0.0
126,F,West Region,College,22061.0,5.8781993,Personal Auto,Four-Door Car,74.0,355.2,0.0
127,F,Central,High School or Below,86321.0,2.6660545,Personal Auto,Four-Door Car,66.0,316.8,0.0
128,M,North West,Bachelor,54668.0,5.345681,Personal Auto,Four-Door Car,68.0,326.4,0.0
129,F,Central,High School or Below,37824.84705495949,4.7771216,Personal Auto,Four-Door Car,62.0,297.6,0.0
130,M,West Region,High School or Below,69497.0,16.9737402,Personal Auto,SUV,142.0,92.286763,0.0
131,M,North West,High School or Below,86617.0,2.5181120999999997,Personal Auto,Four-Door Car,63.0,188.325603,0.0
132,F,Central,Master,22705.0,19.1609899,Personal Auto,Luxury SUV,239.0,1294.700423,0.0
133,F,East,High School or Below,90783.0,32.8644046,Personal Auto,SUV,104.0,285.745227,0.0
134,M,North West,Bachelor,88410.0,3.964813,Corporate Auto,Four-Door Car,99.0,475.2,0.0
135,F,West Region,Bachelor,37824.84705495949,4.9117731,Personal Auto,Four-Door Car,69.0,496.8,0.0
136,F,North West,College,21073.0,7.8053129000000006,Personal Auto,SUV,106.0,508.8,0.0
137,F,Central,College,37824.84705495949,7.2006649,Personal Auto,Four-Door Car,66.0,316.8,0.0
138,M,North West,College,66429.0,5.389499499999999,Personal Auto,Sports Car,136.0,57.712985,0.0
139,F,West Region,Doctor,66889.0,3.2413141999999997,Personal Auto,Four-Door Car,80.0,294.319428,0.0
140,M,West Region,Bachelor,36088.0,5.5282128,Corporate Auto,Four-Door Car,72.0,345.6,0.0
141,M,East,Master,37824.84705495949,2.9930246,Corporate Auto,Four-Door Car,80.0,286.115778,0.0
142,M,Central,Bachelor,37824.84705495949,7.076653199999999,Corporate Auto,Two-Door Car,68.0,489.6,0.0
143,F,West Region,College,17557.0,3.700385,Personal Auto,Four-Door Car,96.0,666.724937,0.0
144,F,West Region,College,81064.0,5.3288359,Personal Auto,Two-Door Car,70.0,42.238585,0.0
145,F,Central,High School or Below,37824.84705495949,4.8388771,Personal Auto,Four-Door Car,66.0,700.331425,0.0
146,F,East,Master,42526.0,3.417205,Personal Auto,Two-Door Car,86.0,287.5426,0.0
147,F,West Region,Doctor,45703.0,7.879929000000001,Personal Auto,Two-Door Car,98.0,470.4,0.0
148,F,West Region,Bachelor,40036.0,7.8694324,Personal Auto,Four-Door Car,65.0,48.828732,0.0
149,M,West Region,Bachelor,37824.84705495949,2.5868072,Personal Auto,Four-Door Car,71.0,191.640085,0.0
150,M,Central,High School or Below,65870.0,7.2867891,Personal Auto,Four-Door Car,61.0,202.847644,0.0
151,F,West Region,Bachelor,91469.0,11.7979921,Personal Auto,SUV,100.0,418.864555,0.0
152,M,West Region,High School or Below,42090.0,9.386753,Corporate Auto,SUV,119.0,203.352239,0.0
153,F,North West,Doctor,21368.0,6.3089224,Corporate Auto,Four-Door Car,79.0,4.61262,0.0
154,F,East,Bachelors,79090.0,8.6091582,Personal Auto,SUV,107.0,289.040734,0.0
155,F,North West,Bachelor,33879.0,15.4280104,Corporate Auto,Two-Door Car,98.0,470.4,0.0
156,M,Central,High School or Below,72874.0,5.630793000000001,Special Auto,Four-Door Car,70.0,336.0,0.0
157,M,West Region,High School or Below,37824.84705495949,18.131188700000003,Personal Auto,Four-Door Car,82.0,393.6,0.0
158,F,West Region,Bachelor,37824.84705495949,8.0872195,Personal Auto,Two-Door Car,110.0,550.825934,0.0
159,M,Central,College,72215.0,18.453576299999998,Personal Auto,Four-Door Car,66.0,247.911872,0.0
160,F,West Region,Bachelor,39854.0,5.2175133,Corporate Auto,Two-Door Car,66.0,261.930545,0.0
161,M,North West,College,36655.0,4.8357832,Personal Auto,Four-Door Car,61.0,295.223164,0.0
162,F,North West,High School or Below,37995.0,5.597125,Personal Auto,SUV,139.0,667.2,0.0
163,F,West Region,High School or Below,40867.0,8.920464,Corporate Auto,Two-Door Car,112.0,537.6,0.0
164,F,North West,Bachelor,28804.0,5.995411,Personal Auto,Two-Door Car,78.0,76.025368,0.0
165,F,West Region,High School or Below,48409.0,38.496947,Special Auto,SUV,124.0,345.211703,0.0
166,M,West Region,High School or Below,19683.0,8.3826301,Personal Auto,Sports Car,117.0,561.6,0.0
167,,East,College,92834.0,2.4436652,Special Auto,Four-Door Car,61.0,292.8,0.0
168,F,East,High School or Below,62006.0,2.4722539,Personal Auto,Four-Door Car,61.0,292.8,0.0
169,F,West Region,High School or Below,67241.0,5.4055184,Personal Auto,Two-Door Car,68.0,5.674809,0.0
170,M,West Region,High School or Below,75436.0,9.352479,Personal Auto,Four-Door Car,78.0,9.747443,0.0
171,F,Central,College,91761.0,4.3398711,Personal Auto,SUV,109.0,779.052276,0.0
172,F,West Region,College,25771.0,17.723764,Personal Auto,Luxury SUV,222.0,1253.984948,0.0
173,M,North West,College,60920.0,7.5074554000000004,Personal Auto,Two-Door Car,64.0,231.201886,0.0
174,F,East,College,37824.84705495949,6.0485742,Corporate Auto,Four-Door Car,61.0,292.8,0.0
175,F,East,High School or Below,29822.0,19.0144763,Personal Auto,Two-Door Car,61.0,292.8,0.0
176,M,Central,College,60944.0,10.0803703,Personal Auto,SUV,130.0,623.505066,0.0
177,F,West Region,High School or Below,22081.0,6.503397,Personal Auto,Two-Door Car,84.0,451.670309,0.0
178,F,East,College,67282.0,2.4877297,Personal Auto,Two-Door Car,62.0,297.6,0.0
179,F,West Region,College,37824.84705495949,4.6203901,Personal Auto,SUV,130.0,936.0,0.0
180,M,Central,High School or Below,95697.0,2.4715284,Personal Auto,Two-Door Car,61.0,114.273025,0.0
181,F,North West,College,15300.0,6.494244,Personal Auto,Four-Door Car,85.0,408.0,0.0
182,M,East,High School or Below,88264.0,2.5049076,Personal Auto,Two-Door Car,62.0,297.6,0.0
183,F,Central,College,12902.0,4.9048947,Personal Auto,Sports Car,139.0,667.2,0.0
184,M,Central,High School or Below,29809.0,4.8024770000000006,Personal Auto,Four-Door Car,61.0,365.312072,0.0
185,M,Central,High School or Below,37824.84705495949,7.9557747999999995,Personal Auto,Four-Door Car,74.0,355.2,0.0
186,M,North West,High School or Below,37824.84705495949,6.9419008,Personal Auto,Four-Door Car,96.0,460.8,0.0
187,M,North West,Bachelor,25998.0,8.3824784,Personal Auto,Four-Door Car,71.0,791.878042,0.0
188,F,North West,Doctor,28248.0,3.5364318,Personal Auto,Four-Door Car,90.0,634.385937,0.0
189,F,West Region,College,68103.0,3.2448165999999996,Personal Auto,Two-Door Car,82.0,277.795988,0.0
190,F,West Region,High School or Below,37824.84705495949,7.6112128000000006,Special Auto,Four-Door Car,103.0,741.6,0.0
191,F,North West,Doctor,81079.0,4.5053983,Special Auto,SUV,111.0,134.222332,0.0
192,F,Central,Master,22732.0,2.4458448,Personal Auto,Four-Door Car,62.0,15.616535,0.0
193,F,Central,High School or Below,49825.0,16.477768400000002,Corporate Auto,Two-Door Car,70.0,336.0,0.0
194,F,North West,College,37824.84705495949,3.5464002000000003,Personal Auto,SUV,103.0,621.959357,0.0
195,M,Central,High School or Below,77265.0,4.2772701,Personal Auto,SUV,107.0,513.6,0.0
196,M,West Region,High School or Below,37824.84705495949,4.7847735,Corporate Auto,Four-Door Car,72.0,779.629297,0.0
197,M,West Region,College,12876.0,7.5722377000000005,Corporate Auto,Four-Door Car,107.0,425.964628,0.0
198,M,Central,Bachelor,36431.0,11.760876399999999,Personal Auto,Two-Door Car,99.0,513.252488,0.0
199,M,North West,High School or Below,25927.0,3.9338140000000004,Personal Auto,SUV,103.0,674.973614,0.0
200,F,Central,Bachelor,26811.0,5.7007618,Personal Auto,Two-Door Car,72.0,465.763576,0.0
201,F,North West,High School or Below,41711.0,3.4986347999999996,Personal Auto,Four-Door Car,90.0,351.286604,0.0
202,F,Central,College,35091.0,5.7680913,Corporate Auto,Two-Door Car,74.0,418.927204,0.0
203,F,Central,Bachelor,37824.84705495949,6.361954,Corporate Auto,Four-Door Car,87.0,417.6,0.0
204,F,North West,High School or Below,22081.0,6.503397,Personal Auto,Two-Door Car,84.0,451.670309,0.0
205,M,East,High School or Below,29560.0,4.93519,Personal Auto,Four-Door Car,62.0,297.6,0.0
206,M,North West,College,31320.0,5.7852235,Personal Auto,Four-Door Car,72.0,293.86579,0.0
207,M,North West,High School or Below,37824.84705495949,5.6196891,Personal Auto,SUV,153.0,1027.000029,0.0
208,M,North West,Doctor,33947.0,2.5992896,Personal Auto,Four-Door Car,66.0,192.213037,0.0
209,F,West Region,High School or Below,37824.84705495949,6.7329709,Personal Auto,Two-Door Car,62.0,446.4,0.0
210,F,West Region,College,21189.0,18.3218665,Personal Auto,Two-Door Car,66.0,316.8,0.0
211,M,East,Bachelors,25905.0,2.3006915,Personal Auto,Four-Door Car,63.0,302.4,0.0
212,M,North West,High School or Below,37824.84705495949,4.0028576000000005,Personal Auto,SUV,114.0,820.8,0.0
213,F,North West,Bachelor,44988.0,8.6209974,Corporate Auto,Two-Door Car,108.0,518.4,0.0
214,F,North West,College,33432.0,10.388986,Corporate Auto,Two-Door Car,90.0,161.423101,0.0
215,F,North West,Bachelor,46503.0,8.4271725,Personal Auto,Luxury SUV,215.0,1032.0,0.0
216,M,West Region,Bachelor,37824.84705495949,7.0072742,Corporate Auto,SUV,101.0,973.787176,0.0
217,F,North West,Master,23636.0,5.1765791,Personal Auto,Four-Door Car,65.0,81.452537,0.0
218,M,North West,College,66429.0,5.389499499999999,Personal Auto,Sports Car,136.0,57.712985,0.0
219,F,East,College,11417.0,4.7000075,Personal Auto,Two-Door Car,63.0,302.4,0.0
220,F,North West,Bachelor,58082.0,4.4349414000000005,Personal Auto,SUV,112.0,103.022126,0.0
221,F,Central,Bachelor,36523.0,14.010527399999999,Personal Auto,Four-Door Car,71.0,101.353875,0.0
222,M,Central,Bachelor,54710.0,12.350058200000001,Personal Auto,Two-Door Car,103.0,294.058449,0.0
223,F,West Region,High School or Below,73466.0,8.1615769,Personal Auto,SUV,102.0,204.74051,0.0
224,F,North West,Bachelor,51643.0,11.009130500000001,Corporate Auto,Luxury Car,283.0,1358.4,0.0
225,M,Central,College,83846.0,8.7170498,Personal Auto,Four-Door Car,74.0,355.2,0.0
226,M,North West,High School or Below,37824.84705495949,5.9174666,Personal Auto,SUV,169.0,1207.084251,0.0
227,M,West Region,Bachelor,53338.0,2.5036604000000002,Personal Auto,Four-Door Car,63.0,35.45384,0.0
228,,East,Bachelor,54500.0,5.018885200000001,Corporate Auto,Two-Door Car,63.0,302.4,0.0
229,M,North West,College,60475.0,4.330386,Personal Auto,Four-Door Car,107.0,513.6,0.0
230,M,West Region,College,30658.0,10.4877433,Personal Auto,Four-Door Car,89.0,441.757585,0.0
231,M,Central,Bachelor,37824.84705495949,3.5675038,Corporate Auto,SUV,102.0,660.430456,0.0
232,F,North West,Bachelor,60420.0,19.8964223,Personal Auto,Luxury SUV,248.0,632.944366,0.0
233,M,North West,Bachelor,37824.84705495949,21.4236372,Personal Auto,Two-Door Car,65.0,312.0,0.0
234,M,East,College,40598.0,6.9483258999999995,Personal Auto,Four-Door Car,91.0,302.791402,0.0
235,F,West Region,Doctor,15144.0,3.5158319000000002,Personal Auto,Four-Door Car,90.0,372.652536,0.0
236,M,West Region,Bachelor,44428.0,12.0366205,Personal Auto,SUV,104.0,499.2,0.0
237,M,West Region,College,58297.0,3.6097983,Special Auto,Four-Door Car,97.0,647.039443,0.0
238,F,North West,Bachelor,42191.0,17.7324649,Special Auto,Two-Door Car,74.0,68.647736,0.0
239,M,Central,Master,26057.0,8.5098509,Personal Auto,Four-Door Car,74.0,523.888845,0.0
240,F,Central,Bachelor,26608.0,5.8664243,Personal Auto,Two-Door Car,73.0,234.234301,0.0
